DATA ACQUISTO 	DATA REGISTR. 	DESCRIZIONE DELLE OPERAZIONI 	IMPORTO IN EURO
25/05/2017	29/05/2017	PAYPAL *WWW.WIND.IT 35314369001	5,00
27/05/2017 	29/05/2017 	PAGAMENTO CON ADDEBITO SU VS C/C 	304,68-
30/05/2017 	31/05/2017 	ASL N.2 BASSA FRIULA MONFALCONE 	92,00
02/06/2017 	05/06/2017 	MACINCLOUD.COM 702-518-6034 IMPORTO IN U.S. DOLLAR 0,99 USD	0,90
03/06/2017 	05/06/2017	MACINCLOUD.COM 702-518-6034 IMPORTO IN U.S. DOLLAR 12,00 USD	10,90
08/06/2017 	09/06/2017 	WWW.ORTAK.CO.UK INTERNET IMPORTO IN POUND STERLIN 56,50 GBP	66,45
09/06/2017	12/06/2017 	AIRBNB 14158005959 	258,00
10/06/2017	12/06/2017 	MACINCLOUD.COM 702-518-6034 IMPORTO IN U.S. DOLLAR 12,00 USD	10,94
12/06/2017 	14/06/2017 	ADDEBITO PRODOTTI/SERVIZI RHO 	9,00
14/06/2017 	16/06/2017 	BS BLED I BLED 	61,62
17/06/2017 	19/06/2017 	MACINCLOUD.COM 702-518-6034 IMPORTO IN U.S. DOLLAR 12,00 USD	10,96
24/06/2017 	26/06/2017 	MACINCLOUD.COM 702-518-6034 IMPORTO IN U.S. DOLLAR 12,00 USD	10,96
24/06/2017 	26/06/2017	PAYPAL *NAIF SRL 35314369001 	43,28
28/06/2017	28/06/2017 	IMPOSTA DI BOLLO 	2,00
