DATA;VALUTA;DARE;AVERE;;DESCRIZIONE OPERAZIONE;CAUSALE ABI;
03/06/2016;01/06/2016;70.70;;EUR;PAGOBANCOMAT                       PagoBANCOMAT del 01/06/2016 08.47 BANCA: ISTITUTO CENTRALE DELLE BANC HE POPOLARI ITALIANE presso MONFALCONE SS DPR                                                            ;43;
03/06/2016;03/06/2016;158.87;;EUR;CARTA CREDITO BCC                                                                                                                                                                                                 ;45;
03/06/2016;02/06/2016;8.50;;EUR;PAGOBANCOMAT                       PagoBANCOMAT del 02/06/2016 11.16 BANCA: BANCA POPOLARE FRIULADRIA S. P.A. presso PISCINA TERMALE GIT                                                                          ;43;
07/06/2016;07/06/2016;144.93;;EUR;BOLL.GAS/ENERGIA                   CRED. BLUENERGY GROUP SPA RIF. FT.472874/6 12-05-16 SDD 2016 R 0251401 SCAD. 07/06/2016 IMP. E      144.93                                                                     ;ZE;
07/06/2016;03/06/2016;90.43;;EUR;PAGOBANCOMAT                       DATA/ORA OP.: 03/06/2016 18.00.00 BANCA: ISTITUTO CENTRALE DELLE BANC HE POPOLARI ITALIANE                                                                                     ;43;
08/06/2016;08/06/2016;20.00;;EUR;BOLL.TELEFONO                      CRED. TELECOMITALIA SPA SDD 2016 R 0255056 SCAD. 08/06/2016 IMP. E       20.00                                                                                                 ;ZD;
08/06/2016;08/06/2016;109.75;;EUR;RID AUTOSTRADE                     CRED. TELEPASS S.P.A. RIF. SALDO DOCUM. 011213633 DEL 310 516 SDD 2016 R 0256502 SCAD. 08/06/2016 IMP. E      108.20 COMM. E    1.55                                           ;24;
08/06/2016;08/06/2016;;150.00;EUR;ACCREDITO STIPENDI PENSIONI RI     VOLTA SOCIETA COOPERATIVA SOC 2016-06-06 15-56-15.483 SALDO COMPENSO MAGGIO 2016 TXI:1101161590186057                                                                          ;27;
09/06/2016;09/06/2016;69.25;;EUR;R.I.D.                             CRED. PayPal Europe S.a.r.l. et Cie RIF. YYUJ222227P4YVQ8 PAYPAL SDD 2016 R 0272542 SCAD. 09/06/2016 IMP. E       67.25 COMM. E    2.00                                        ;50;
09/06/2016;09/06/2016;103.41;;EUR;R.I.D.                             CRED. PayPal Europe S.a.r.l. et Cie RIF. YYUJ222227P6TJS6 PAYPAL SDD 2016 R 0272544 SCAD. 09/06/2016 IMP. E      101.41 COMM. E    2.00                                        ;50;
09/06/2016;08/06/2016;110.00;;EUR;PREL.BANCOMAT NS ATM               DATA/ORA OP.: 08/06/2016 17.59.00 BANCA: CREDITO COOPERATIVO FRIULI S CRL                                                                                                      ;05;
10/06/2016;10/06/2016;46.80;;EUR;R.I.D.                             CRED. Generali Italia RIF. FACCHINETTI PAOLA IU0003D76622 8870160610 SDD 2016 R 0257490 SCAD. 10/06/2016 IMP. E       44.80 COMM. E    2.00                                    ;50;
10/06/2016;10/06/2016;;320.00;EUR;Ordinante: INPS Causale: ACCREDITO ORDINE CONTO  ACCREDITO ORDINE CONTO Data ordine: 10062016 IBAN ordinante: IT42E01000032350 Indirizzo ordinante: - ROMA;48;
10/06/2016;09/06/2016;24.57;;EUR;PAGOBANCOMAT                       PagoBANCOMAT del 09/06/2016 12.13 BANCA: UNICREDIT SPA presso SORELLE RAMONDA 173                                                                                              ;43;
10/06/2016;09/06/2016;19.75;;EUR;PAGOBANCOMAT                       PagoBANCOMAT del 09/06/2016 12.35 BANCA: INTESA SANPAOLO SPA presso BENNET       8                                                                                             ;43;
10/06/2016;10/06/2016;;259.00;EUR;ACCREDITO STIPENDI PENSIONI RI     Ord: EXCOL STUDIO DI RONUTTI ROBERT O E C. S.A.S. ACCREDITO COMPETENZE MESE DI MAGGIO  2016 ID Pag: 1327599                                                                    ;27;
11/06/2016;11/06/2016;100.00;;EUR;PREL.BANCOMAT NS ATM               PRELIEVO DA C/C (ATM AZIENDALE) 11.06.2016 09:04:00 N.CAR.0520502 CREDITO COOPERATIVO FRIULI SCRL AGENZIA Piazza Liberta'. 6 - 3305                                            ;05;
13/06/2016;13/06/2016;3.00;;EUR;R.I.D.                             CRED. PayPal Europe S.a.r.l. et Cie RIF. YYUJ222227PPKWYQ PAYPAL SDD 2016 R 0279060 SCAD. 13/06/2016 IMP. E        1.00 COMM. E    2.00                                        ;50;
13/06/2016;10/06/2016;25.84;;EUR;PAGOBANCOMAT                       PagoBANCOMAT del 10/06/2016 09.31 BANCA: BANCA POPOLARE FRIULADRIA S. P.A. presso DISTRIBUTORE IP                                                                              ;43;
