DATA;VALUTA;DARE;AVERE;;DESCRIZIONE OPERAZIONE;CAUSALE ABI;
02/05/2016;;;2.503.50;EUR;Saldo iniziale;
02/05/2016;29/04/2016;19.90;;EUR;PAGOBANCOMAT                       PagoBANCOMAT del 29/04/2016 07.46 BANCA: BANCA POPOLARE FRIULADRIA S. P.A. presso DISTRIBUTORE IP                                                                              ;43;
02/05/2016;30/04/2016;10.55;;EUR;PAGOBANCOMAT                       PagoBANCOMAT del 30/04/2016 13.47 BANCA: BANCA POPOLARE DI VICENZA S. P.A. presso ES4 UD CERVIGNANO                                                                            ;43;
02/05/2016;30/04/2016;29.00;;EUR;PAGOBANCOMAT                       PagoBANCOMAT del 30/04/2016 11.25 BANCA: CREDITO COOPERATIVO FRIULI S CRL presso MORLACCO CALZATURE SRL                                                                        ;43;
02/05/2016;01/05/2016;17.85;;EUR;PAGOBANCOMAT                       PagoBANCOMAT del 01/05/2016 11.58 BANCA: INTESA SANPAOLO SPA presso DEICHMANN                                                                                                  ;43;
03/05/2016;03/05/2016;306.50;;EUR;R.I.D.                             CRED. SANTANDER CONSUMER BANK SPA RIF. PAGAMENTO DELLA RATA N 045 DEL LA PRATICA N 000003145402 FATTURA N   SDD 2016 R 0194279 SCAD. 03/05/2016 IMP. E      304.50 COMM. E    2;50;
03/05/2016;02/05/2016;70.70;;EUR;PAGOBANCOMAT                       PagoBANCOMAT del 02/05/2016 07.06 BANCA: ISTITUTO CENTRALE DELLE BANC HE POPOLARI ITALIANE presso STAZIONE DI CERVIGNANO                                                       ;43;
04/05/2016;03/05/2016;120.00;;EUR;PAGOBANCOMAT                       PagoBANCOMAT del 03/05/2016 17.19 BANCA: CASSA DI RISPARMIO DEL FRIUL I VENEZIA GIULIA S.P.A. presso AUTOFFICINA LA MODIFICA                                                  ;43;
04/05/2016;03/05/2016;27.06;;EUR;PAGOBANCOMAT                       PagoBANCOMAT del 03/05/2016 07.46 BANCA: BANCA POPOLARE FRIULADRIA S. P.A. presso DISTRIBUTORE IP                                                                              ;43;
05/05/2016;05/05/2016;364.41;;EUR;CARTA CREDITO BCC                                                                                                                                                                                                 ;45;
